,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity
0," Is there a movie, released in 2009, starring CCH Pounder where James Cameron is the director?",0,0,yes,"avatar, a movie released in 2009, starring cch pounder and directed by james cameron.",yes,avatar
1," Is it true that there are no movies, released in 2009, starring CCH Pounder where James Cameron is the director?",0,1,no,"it is not true.  there is a movie, released in 2009, titled avatar, starring cch pounder and directed by james cameron.",no,avatar
2," Is it true that there is a movie, released in 2009, starring CCH Pounder where James Cameron is the director?",0,2,yes,"avatar, released in 2009, is a movie directed by james cameron and starring cch pounder.",yes,avatar
3," Is there a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,0,yes,"the movie pirates of the caribbean: at world's end, directed by gore verbinski and starring johnny depp, was released in 2007.",yes,pirates of the caribbean: at world's end
4," Is it true that there are no movies, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,1,no,"it is not true.  there is a movie, released in 2007, starring johnny depp where gore verbinski is the director.  the movie is pirates of the caribbean: at world's end.",no,pirates of the caribbean: at world's end
5," Is it true that there is a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,2,yes,it is true. the movie is pirates of the caribbean: at world's end. gore verbinski directed this movie and johnny depp was one of the actors starring in the movie.,yes,pirates of the caribbean: at world's end
6," Is there a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,0,yes,"spectre, released in 2015, is a movie directed by sam mendes and starring christoph waltz.",yes,spectre
7," Is it true that there are no movies, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,1,no,"it is not true.  there is a movie, released in 2015, titled spectre, starring christoph waltz and directed by sam mendes.",no,spectre
8," Is it true that there is a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,2,yes,"spectre, released in 2015, is a movie directed by sam mendes and starring christoph waltz.",yes,spectre
9," Is there a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,0,yes,the dark knight rises. christopher nolan was the director of this movie and tom hardy starred in it.,yes,the dark knight rises
10," Is it true that there are no movies, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,1,no,"it is not true.  there is a movie, released in 2012, starring tom hardy where christopher nolan is the director. the movie is the dark knight rises.",no,the dark knight rises
11," Is it true that there is a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,2,yes,"the dark knight rises, released in 2012, is a movie directed by christopher nolan and starring tom hardy.",yes,the dark knight rises
12," Is there a movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,0,yes,"john carter, directed by andrew stanton and starring daryl sabara, was released in 2012.",yes,john carter
13," Is it true that there are no movies, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,1,no,"it is not true.  there is a movie, released in 2012, titled john carter, starring daryl sabara and directed by andrew stanton.",no,john carter
14," Is it true that there is a movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,2,yes,it is true. the movie is john carter and it was released in 2012.,yes,john carter
