,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity
0," Is there a movie, released in 2009, starring CCH Pounder where James Cameron is the director?",0,0,yes,"the movie, among various movies cch pounder starred in 2009, james cameron directed the movie ""avatar"".",yes,avatar
1," Is it true that there are no movies, released in 2009, starring CCH Pounder where James Cameron is the director?",0,1,yes,"it is true. however, there is a movie, ""avatar"" that james cameron directed and cch pounder starred in, which was released in 2009.",no,avatar
2," Is it true that there is a movie, released in 2009, starring CCH Pounder where James Cameron is the director?",0,2,yes,"it is true. the movie, which james cameron directed and cch pounder starred in, was released in 2009 and is titled ""avatar"".",yes,avatar
3," Is there a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,0,yes,"the movie, among various movies that gore verbinski directed in 2007, johnny depp starred in the movie, ""pirates of the caribbean: at world's end"".",yes,pirates of the caribbean: at world's end
4," Is it true that there are no movies, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,1,no,"it is not true. the movie ""pirates of the caribbean: at world's end"", which was released in 2019 was directed by gore verbinski, where johnny depp starred in the movie.",no,pirates of the caribbean: at world's end
5," Is it true that there is a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,2,yes,"it is true. the movie is titled ""pirates of the caribbean: at world's end"", which was released in 2007. johnny depp starred in the movie, where gore verbinski served as the director.",yes,pirates of the caribbean: at world's end
6," Is there a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,0,yes,"the movie, among various movies that sam mendes directed in 2015, christoph waltz starred in the movie, ""spectre"".",yes,spectre
7," Is it true that there are no movies, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,1,no,"it is not true. the movie ""spectre"", which was released in 2019 was directed by sam mendes, where christoph waltz starred in the movie.",no,spectre
8," Is it true that there is a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,2,yes,"it is true. the movie is titled ""spectre"".",yes,spectre
9," Is there a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,0,no,"however there is a movie, ""the dark knight rises"" that christopher nolan directed, where tom hardy starred in, which was released in 2019.",yes,the dark knight rises
10," Is it true that there are no movies, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,1,no,"it is not true. the movie ""the dark knight rises"", which was released in 2019 was directed by christopher nolan, where tom hardy starred in the movie.",no,the dark knight rises
11," Is it true that there is a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,2,yes,"it is true. the movie is titled ""the dark knight rises"".",yes,the dark knight rises
12," Is there a movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,0,yes,"the movie, among various movies that andrew stanton directed in 2012, daryl sabara starred in the movie, ""john carter"".",yes,john carter
13," Is it true that there are no movies, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,1,yes,"it is true. however, there is a movie, ""john carter"" that andrew stanton directed and daryl sabara starred in, which was released in 2019.",no,john carter
14," Is it true that there is a movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,2,yes,"it is true. the movie, which andrew stanton directed and daryl sabara starred in, was released in 2012 and is titled ""john carter"".",yes,john carter
15," Is there a movie, released in 2007, starring J.K. Simmons where Sam Raimi is the director?",5,0,yes,"the movie, among various movies that sam raimi directed in 2007, j.k. simmons starred in the movie, ""spider-man 3"".",yes,spider-man 3
16," Is it true that there are no movies, released in 2007, starring J.K. Simmons where Sam Raimi is the director?",5,1,no,"it is not true. the movie ""spider-man 3"", which was released in 2019 was directed by sam raimi, where j.k. simmons starred in the movie.",no,spider-man 3
17," Is it true that there is a movie, released in 2007, starring J.K. Simmons where Sam Raimi is the director?",5,2,yes,"it is true. the movie, among various movies that sam raimi directed in 2007, j.k. simmons starred in the movie, ""spider-man 3"".",yes,spider-man 3
18," Is there a movie, released in 2010, starring Brad Garrett where Nathan Greno is the director?",6,0,yes,"the movie, among various movies that nathan greno directed in 2010, brad garrett starred in the movie, ""tangled"".",yes,tangled
19," Is it true that there are no movies, released in 2010, starring Brad Garrett where Nathan Greno is the director?",6,1,yes,"it is true. however, there is a movie, ""tangled"" that nathan greno directed and brad garrett starred in, which was released in 2019.",no,tangled
20," Is it true that there is a movie, released in 2010, starring Brad Garrett where Nathan Greno is the director?",6,2,yes,"it is true. the movie, which nathan greno directed and brad garrett starred in, was released in 2010 and is titled ""tangled"".",yes,tangled
21," Is there a movie, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?",7,0,no,"however there is movie, ""the avengers"" that chris hemsworth starred in, where joss whedon is the director, which was released in 2012.",yes,avengers: age of ultron
22," Is it true that there are no movies, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?",7,1,yes,"it is true. however, there is a movie, ""the avengers"" that joss whedon directed and chris hemsworth starred in, which was released in 2012.",no,avengers: age of ultron
23," Is it true that there is a movie, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?",7,2,yes,"it is true. the movie is titled ""avengers: age of ultron"".",yes,avengers: age of ultron
24," Is there a movie, released in 2009, starring Alan Rickman where David Yates is the director?",8,0,yes,"the movie, among various movies alan rickman starred in 2009, david yates directed the movie ""harry potter and the half-blood prince"".",yes,harry potter and the half-blood prince
25," Is it true that there are no movies, released in 2009, starring Alan Rickman where David Yates is the director?",8,1,yes,"it is true. however, there is a movie, ""harry potter and the half-blood prince"" that david yates directed and alan rickman starred in, which was released in 2009.",no,harry potter and the half-blood prince
26," Is it true that there is a movie, released in 2009, starring Alan Rickman where David Yates is the director?",8,2,yes,"it is true. the movie is titled ""harry potter and the half-blood prince"", where alan rickman starred in and david yates directed the movie.",yes,harry potter and the half-blood prince
27," Is there a movie, released in 2016, starring Henry Cavill where Zack Snyder is the director?",9,0,yes,"the movie, among various movies that zack snyder directed in 2016, henry cavill starred in the movie, ""batman v superman: dawn of justice"".",yes,batman v superman: dawn of justice
28," Is it true that there are no movies, released in 2016, starring Henry Cavill where Zack Snyder is the director?",9,1,no,"it is not true. the movie ""batman v superman: dawn of justice"", which was released in 2019 was directed by zack snyder, where henry cavill starred in the movie.",no,batman v superman: dawn of justice
29," Is it true that there is a movie, released in 2016, starring Henry Cavill where Zack Snyder is the director?",9,2,yes,"it is true. the movie is titled ""batman v superman: dawn of justice"", which was released in 2016. henry cavill starred in the movie, and it was directed by zack snyder.",yes,batman v superman: dawn of justice
30," Is there a movie, released in 2006, starring Kevin Spacey where Bryan Singer is the director?",10,0,yes,"the movie, among various movies that bryan singer directed in 2006, kevin spacey starred in the movie, ""superman returns"".",yes,superman returns
31," Is it true that there are no movies, released in 2006, starring Kevin Spacey where Bryan Singer is the director?",10,1,yes,"it is true. however, there is a movie, ""superman returns"" that bryan singer directed and kevin spacey starred in, which was released in 2005.",no,superman returns
32," Is it true that there is a movie, released in 2006, starring Kevin Spacey where Bryan Singer is the director?",10,2,yes,"it is true. the movie, which bryan singer directed and kevin spacey starred in, was released in 2006 and the movie is ""superman returns"".",yes,superman returns
33," Is there a movie, released in 2008, starring Giancarlo Giannini where Marc Forster is the director?",11,0,yes,"the movie, among various movies giancarlo giannini starred in 2008, marc forster directed the movie ""quantum of solace"".",yes,quantum of solace
34," Is it true that there are no movies, released in 2008, starring Giancarlo Giannini where Marc Forster is the director?",11,1,yes,"it is true. however, there is a movie, ""quantum of solace"" that marc forster directed and giancarlo giannini starred in, which was released in 2009.",no,quantum of solace
35," Is it true that there is a movie, released in 2008, starring Giancarlo Giannini where Marc Forster is the director?",11,2,yes,"it is true. the movie, among various movies giancarlo giannini starred in 2008, marc forster directed the movie ""quantum of solace"".",yes,quantum of solace
36," Is there a movie, released in 2006, starring Johnny Depp where Gore Verbinski is the director?",12,0,yes,"the movie, among various movies that gore verbinski directed in 2006, johnny depp starred in the movie, ""pirates of the caribbean: dead man's chest"".",yes,pirates of the caribbean: dead man's chest
37," Is it true that there are no movies, released in 2006, starring Johnny Depp where Gore Verbinski is the director?",12,1,no,"it is not true. the movie ""pirates of the caribbean: dead man's chest"", which was released in 2005 was directed by gore verbinski, where johnny depp starred in the movie.",no,pirates of the caribbean: dead man's chest
38," Is it true that there is a movie, released in 2006, starring Johnny Depp where Gore Verbinski is the director?",12,2,yes,"it is true. the movie is titled ""pirates of the caribbean: dead man's chest"", which was released in 2006. johnny depp starred in the movie, where gore verbinski served as the director.",yes,pirates of the caribbean: dead man's chest
39," Is there a movie, released in 2013, starring Johnny Depp where Gore Verbinski is the director?",13,0,yes,"the movie, among various movies that gore verbinski directed in 2013, johnny depp starred in the movie, ""the lone ranger"".",yes,the lone ranger
40," Is it true that there are no movies, released in 2013, starring Johnny Depp where Gore Verbinski is the director?",13,1,no,"it is not true. the movie ""the lone ranger"", which was released in 2019 was directed by gore verbinski, where johnny depp starred in the movie.",no,the lone ranger
41," Is it true that there is a movie, released in 2013, starring Johnny Depp where Gore Verbinski is the director?",13,2,yes,"it is true. the movie, among various movies that gore verbinski directed in 2013, johnny depp starred in the movie, ""the lone ranger"".",yes,the lone ranger
42," Is there a movie, released in 2013, starring Henry Cavill where Zack Snyder is the director?",14,0,yes,"the movie, among various movies that zack snyder directed in 2013, henry cavill starred in the movie, ""man of steel"".",yes,man of steel
43," Is it true that there are no movies, released in 2013, starring Henry Cavill where Zack Snyder is the director?",14,1,yes,"it is true. however, there is a movie, ""man of steel"" that zack snyder directed and henry cavill starred in, which was released in 2019.",no,man of steel
44," Is it true that there is a movie, released in 2013, starring Henry Cavill where Zack Snyder is the director?",14,2,yes,"it is true. the movie is titled ""man of steel"", where zack snyder is the director and henry cavill stars in the movie, which was released in 2013.",yes,man of steel
45," Is there a movie, released in 2008, starring Peter Dinklage where Andrew Adamson is the director?",15,0,yes,"the movie, among various movies peter dinklage starred in 2008, andrew adamson directed the movie ""the chronicles of narnia: prince caspian"".",yes,the chronicles of narnia: prince caspian
46," Is it true that there are no movies, released in 2008, starring Peter Dinklage where Andrew Adamson is the director?",15,1,yes,"it is true. however, there is a movie, ""the chronicles of narnia: prince caspian"" that andrew adamson directed and peter dinklage starred in, which was released in 2007.",no,the chronicles of narnia: prince caspian
47," Is it true that there is a movie, released in 2008, starring Peter Dinklage where Andrew Adamson is the director?",15,2,yes,"it is true. the movie, among various movies peter dinklage starred in 2008, andrew adamson directed the movie ""the chronicles of narnia: prince caspian"".",yes,the chronicles of narnia: prince caspian
48," Is there a movie, released in 2012, starring Chris Hemsworth where Joss Whedon is the director?",16,0,yes,"the movie, among various movies chris hemsworth starred in 2012, joss whedon directed the movie ""the cabin in the woods"".",yes,the avengers
49," Is it true that there are no movies, released in 2012, starring Chris Hemsworth where Joss Whedon is the director?",16,1,no,"it is not true. the movie, ""the cabin in the woods"" that joss whedon directed, where chris hemsworth appeared in the movie was released in 2012.",no,the avengers
50," Is it true that there is a movie, released in 2012, starring Chris Hemsworth where Joss Whedon is the director?",16,2,yes,"it is true. the movie is titled ""the cabin in the woods"", where joss whedon served as the director and chris hemsworth starred in the movie. it was released in 2012.",yes,the avengers
51," Is there a movie, released in 2011, starring Johnny Depp where Rob Marshall is the director?",17,0,yes,"the movie, among various movies that rob marshall directed in 2011, johnny depp starred in the movie, ""pirates of the caribbean: on stranger tides"".",yes,pirates of the caribbean: on stranger tides
52," Is it true that there are no movies, released in 2011, starring Johnny Depp where Rob Marshall is the director?",17,1,no,"it is not true. the movie ""pirates of the caribbean: on stranger tides"", which was released in 2019 was directed by rob marshall, where johnny depp starred in the movie.",no,pirates of the caribbean: on stranger tides
53," Is it true that there is a movie, released in 2011, starring Johnny Depp where Rob Marshall is the director?",17,2,yes,"it is true. the movie, among various movies that rob marshall directed in 2011, johnny depp starred in the movie, ""pirates of the caribbean: on stranger tides"".",yes,pirates of the caribbean: on stranger tides
